step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m,fine_epe_px,fine_epe_in_px
223,train,6.6002,0.0005,15.12,6.4370,15.49,8698,171.9,14.239,14.226,nan,nan
224,train,5.4960,0.0245,10.81,5.2433,12.79,9186,172.7,8.218,8.196,nan,nan
225,train,5.5977,0.0026,10.98,5.4138,10.44,10815,173.4,9.088,9.086,nan,nan
226,train,5.6829,0.0039,8.50,5.4121,4.24,11008,174.2,8.127,8.090,nan,nan
227,train,6.1911,0.0001,13.68,5.9748,12.81,7504,174.9,13.065,13.048,nan,nan
228,train,5.9450,0.0391,12.75,5.5625,10.06,9473,175.7,10.749,10.540,nan,nan
229,train,6.2305,0.0001,17.07,6.0336,17.12,8412,176.4,15.005,15.003,nan,nan
230,train,6.2723,0.0018,15.45,6.1045,9.85,8208,177.2,15.343,15.313,nan,nan
231,train,6.3723,0.0037,12.84,6.2664,12.26,8288,177.9,12.303,12.293,nan,nan
232,train,6.8283,0.0040,19.27,6.7737,19.44,7582,178.7,15.049,15.026,nan,nan
233,train,5.9044,0.0044,11.46,5.8207,6.80,8909,179.4,8.576,8.488,nan,nan
234,train,5.7115,0.0011,10.50,5.3994,9.78,8317,180.2,6.239,6.227,nan,nan
235,train,6.2698,0.0274,13.80,6.0425,9.22,8319,180.9,13.213,13.207,nan,nan
236,train,6.1794,0.0002,15.48,6.1079,15.67,9733,181.7,12.269,12.242,nan,nan
237,train,5.6811,0.0144,13.65,5.3155,10.78,8107,182.4,11.141,11.131,nan,nan
238,train,5.8488,0.0237,13.24,5.6013,17.81,10192,183.2,12.586,12.586,nan,nan
239,train,6.6831,0.0007,16.73,6.7514,13.60,8322,183.9,16.086,16.074,nan,nan
240,train,6.2627,0.0018,12.46,6.3299,9.57,9674,184.6,8.152,7.970,nan,nan
241,train,6.3601,0.0003,21.14,6.2532,22.26,10754,185.4,15.442,15.438,nan,nan
242,train,6.4213,0.0005,19.18,6.1688,16.34,8323,186.2,18.468,18.443,nan,nan
243,train,5.3452,0.0410,8.03,5.0419,8.83,8192,186.9,5.681,5.626,nan,nan
244,train,6.1770,0.0011,12.47,5.8136,8.91,8916,187.6,8.976,8.947,nan,nan
245,train,6.4767,0.0001,14.37,6.3909,14.33,7933,188.4,15.752,15.749,nan,nan
246,train,5.9321,0.0010,15.30,5.7123,15.54,8076,189.1,13.204,13.177,nan,nan
247,train,5.7231,0.0186,8.66,5.5496,6.12,9708,189.9,4.833,4.799,nan,nan
248,train,6.5753,0.0015,15.03,6.3498,9.12,9504,190.6,16.159,16.156,nan,nan
249,train,6.0788,0.0005,14.03,5.9556,10.88,9573,191.4,10.104,10.088,nan,nan
250,train,5.3702,0.0122,8.51,5.1281,8.12,9539,192.1,5.912,5.892,nan,nan
