step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
308,train,3.4826,0.0741,8.85,3.3535,11.46,1430,244.2,nan,nan
309,train,3.5029,0.0939,8.35,3.5156,7.86,1406,245.0,nan,nan
310,train,3.3513,0.0334,7.82,3.4243,7.84,1377,245.8,nan,nan
311,train,3.2493,0.1243,6.80,2.9945,4.94,1392,246.5,nan,nan
312,train,3.3807,0.0803,7.55,3.0131,7.11,1445,247.3,nan,nan
313,train,3.2811,0.0773,7.01,2.8444,5.36,1359,248.1,nan,nan
314,train,3.3299,0.1065,7.91,3.4401,8.84,1352,248.9,nan,nan
315,train,3.5394,0.1196,8.54,3.4747,9.28,1321,249.6,nan,nan
316,train,3.0329,0.1970,6.81,2.9908,6.33,1269,250.4,nan,nan
317,train,4.0370,0.0614,14.10,4.0443,16.11,1352,251.2,nan,nan
318,train,4.0957,0.0861,13.45,3.7842,14.09,1417,252.0,nan,nan
319,train,3.6173,0.1775,8.77,3.4338,7.98,1335,252.7,nan,nan
320,train,3.4705,0.1717,7.63,3.4713,7.18,1328,253.5,nan,nan
321,train,3.1585,0.1616,9.13,3.0779,8.53,1324,254.3,nan,nan
322,train,3.3319,0.1131,8.48,3.3286,8.52,1308,255.1,nan,nan
323,train,3.2584,0.0882,9.01,2.6102,8.06,1292,255.9,nan,nan
324,train,4.0484,0.0215,9.16,3.6939,8.77,1397,256.6,nan,nan
325,train,3.4994,0.1727,9.79,3.0894,10.97,1355,257.4,nan,nan
326,train,3.8439,0.0540,11.40,3.3308,9.49,1389,258.2,nan,nan
327,train,3.1799,0.0899,7.11,2.8980,4.91,1346,259.0,nan,nan
328,train,2.8445,0.2488,5.47,2.8702,5.91,1302,259.7,nan,nan
329,train,3.8611,0.0700,10.18,3.5862,11.03,1401,260.5,nan,nan
330,train,3.7166,0.0817,10.13,3.7457,12.55,1420,261.3,nan,nan
331,train,2.6861,0.1875,4.84,2.5844,5.03,1408,262.1,nan,nan
332,train,3.2127,0.1672,8.28,2.8900,8.68,1340,262.8,nan,nan
333,train,3.7823,0.0251,9.98,3.9640,10.49,1397,263.6,nan,nan
334,train,3.2533,0.0691,7.51,3.0159,8.30,1462,264.4,nan,nan
335,train,3.5188,0.0889,8.50,3.1262,7.33,1339,265.2,nan,nan
336,train,4.2406,0.1023,13.54,3.8296,10.23,1271,265.9,nan,nan
337,train,4.2538,0.0418,15.04,4.1489,12.90,1339,266.7,nan,nan
