step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
386,train,2.9063,0.0754,5.21,2.8991,5.41,756,206.4
387,train,3.3375,0.0625,9.53,2.9165,3.83,688,206.9
388,train,3.1932,0.0668,6.71,3.2664,8.24,704,207.4
389,train,4.0071,0.0470,9.89,4.2381,12.99,744,207.9
390,train,2.6264,0.3013,4.35,3.0647,6.83,770,208.5
391,train,2.1096,0.2187,3.85,1.4353,1.00,718,209.0
392,train,3.8887,0.1355,15.64,3.8062,17.32,701,209.5
393,train,2.5272,0.3506,5.33,2.6928,6.24,676,210.0
394,train,5.2883,0.1120,16.33,5.5027,19.47,714,210.5
395,train,2.9121,0.0580,8.98,2.6617,4.83,742,211.1
396,train,3.3335,0.0822,9.72,3.1281,7.89,742,211.6
397,train,2.1809,0.2544,4.25,2.1397,3.41,743,212.1
398,train,3.1746,0.0437,8.46,2.5193,7.10,756,212.6
399,train,2.8157,0.2030,5.11,3.3398,6.48,729,213.2
400,train,3.3894,0.0616,11.29,3.1053,11.24,714,213.7
401,train,2.5211,0.3145,5.34,2.7599,5.47,690,214.2
402,train,2.0772,0.3984,3.00,2.4992,4.41,728,214.7
403,train,3.8536,0.0330,10.83,3.7980,10.22,728,215.3
404,train,3.4056,0.1595,11.15,3.0199,7.12,677,215.8
405,train,3.8424,0.1356,12.98,3.5814,15.95,730,216.3
406,train,3.9164,0.0577,9.56,3.7031,9.24,676,216.8
407,train,2.2215,0.2273,3.81,2.0746,3.41,704,217.4
408,train,3.7180,0.1111,9.73,3.9841,9.12,702,217.9
409,train,1.8334,0.4174,2.64,2.0393,3.41,714,218.4
410,train,3.5033,0.1662,7.77,3.1136,9.74,770,218.9
411,train,3.9889,0.0045,10.03,3.7158,8.41,674,219.4
412,train,2.9249,0.1752,9.18,3.2127,11.90,742,220.0
413,train,2.4458,0.2162,6.38,2.0921,4.00,717,220.5
414,train,3.9055,0.0362,9.44,3.6765,9.48,690,221.0
415,train,3.7976,0.0727,9.13,3.4127,12.32,729,221.6
416,train,2.2140,0.3280,3.30,2.0500,2.41,756,222.1
417,train,3.4430,0.2830,9.79,3.4009,9.82,742,222.6
