step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
320,train,2.9891,0.2014,7.09,3.1021,7.83,1445,249.9
321,train,4.6160,0.0372,15.97,4.2253,12.74,1397,250.7
322,train,3.1500,0.1872,5.90,2.7323,4.50,1389,251.5
323,train,3.7937,0.1446,11.14,4.0655,11.40,1432,252.2
324,train,3.6392,0.1797,12.23,3.6631,15.49,1402,253.0
325,train,3.9949,0.0490,12.51,3.4957,10.97,1326,253.8
326,train,3.4528,0.0820,12.09,2.9431,10.76,1391,254.5
327,train,2.9974,0.1269,5.72,3.1522,5.80,1442,255.3
328,train,3.4922,0.0920,9.88,3.3229,11.52,1370,256.1
329,train,2.5944,0.2278,5.57,2.5857,3.91,1431,256.8
330,train,2.8572,0.2689,7.37,3.1216,8.04,1350,257.6
331,train,3.1924,0.1868,7.72,3.0406,8.13,1381,258.4
332,train,2.9824,0.1767,6.81,3.1245,6.33,1392,259.1
333,train,3.7339,0.1159,12.01,3.5541,13.82,1458,259.9
334,train,4.8987,0.0038,15.66,4.6446,14.89,1301,260.7
335,train,2.1723,0.4601,4.74,2.1461,5.21,1378,261.5
336,train,3.9630,0.1501,10.95,3.5640,13.12,1419,262.2
337,train,3.2637,0.1930,7.71,3.3922,9.15,1316,263.0
338,train,3.5645,0.1137,10.16,3.5879,8.11,1390,263.8
339,train,3.8688,0.1045,11.32,4.3663,11.75,1273,264.5
340,train,3.2727,0.1470,7.97,3.6089,8.85,1374,265.3
341,train,3.0529,0.1656,7.72,2.9096,6.99,1377,266.1
342,train,3.7518,0.0518,10.51,3.9695,11.94,1447,266.8
343,train,3.2805,0.0712,8.64,3.4282,8.09,1377,267.6
344,train,2.8431,0.2412,7.53,2.7520,7.11,1331,268.4
345,train,2.2523,0.3281,4.02,2.3152,4.12,1326,269.1
346,train,3.4130,0.1543,10.24,3.4050,11.60,1432,269.9
347,train,3.6895,0.1419,9.72,3.4490,8.93,1388,270.7
348,train,3.6334,0.1001,10.23,3.6910,11.08,1408,271.4
349,train,2.9559,0.2748,8.23,2.8717,8.74,1470,272.2
350,train,3.5056,0.1726,9.34,3.6629,8.16,1472,273.0
351,train,4.4033,0.0702,16.63,4.2563,17.13,1368,273.7
352,train,2.7105,0.2770,5.89,2.7799,6.79,1419,274.5
353,train,3.3673,0.0806,6.88,2.7348,4.41,1378,275.3
354,train,3.0765,0.1803,9.39,2.9432,10.78,1403,276.1
355,train,2.3907,0.2635,4.07,2.5082,3.62,1408,276.8
356,train,3.2775,0.0973,7.78,3.2377,10.04,1470,277.6
357,train,3.9735,0.1007,13.00,3.6659,10.53,1400,278.4
358,train,3.5746,0.1421,10.75,3.5257,10.63,1393,279.1
359,train,3.4923,0.1026,9.01,3.6700,9.40,1345,279.9
360,train,3.3887,0.0803,8.43,3.8701,7.83,1470,280.7
361,train,3.4694,0.0935,7.94,3.0677,5.88,1444,281.4
362,train,2.9091,0.2364,9.21,2.6542,9.78,1400,282.2
363,train,3.3927,0.1939,10.83,3.5739,8.64,1387,283.0
364,train,3.6556,0.0770,9.90,4.2730,10.81,1403,283.7
365,train,3.3517,0.1492,9.06,2.8727,8.35,1414,284.5
366,train,3.0942,0.2406,7.14,3.0507,9.91,1376,285.3
367,train,3.2208,0.1533,6.68,3.0056,7.57,1344,286.0
368,train,3.8606,0.0749,8.90,3.5679,7.38,1402,286.8
369,train,2.8930,0.2271,6.87,2.7352,6.27,1378,287.6
370,train,3.4311,0.1947,9.58,3.7555,11.45,1351,288.4
371,train,3.3442,0.1453,7.15,3.3803,8.15,1301,289.1
372,train,2.9784,0.2338,7.00,2.8745,9.54,1424,289.9
373,train,3.4234,0.2122,6.97,3.3035,6.83,1376,290.7
374,train,3.5366,0.1086,8.65,3.8386,9.02,1381,291.4
375,train,3.5910,0.0572,10.32,3.3888,8.94,1415,292.2
376,train,3.6212,0.1610,10.82,3.8014,12.20,1354,293.0
377,train,4.3777,0.0593,17.55,4.5242,19.47,1298,293.7
378,train,3.8198,0.0902,10.17,3.5021,8.69,1442,294.5
379,train,3.6782,0.1276,8.87,3.7922,6.87,1442,295.3
380,train,3.2188,0.1230,8.33,3.4619,11.94,1358,296.0
