step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
251,train,4.8487,0.0746,10.48,4.9769,10.79,1568,195.9,nan,nan
252,train,4.1115,0.0721,5.40,3.3527,5.58,1568,196.7,nan,nan
253,train,5.0369,0.0115,11.55,5.1074,13.32,1568,197.5,nan,nan
254,train,4.1599,0.0746,6.71,4.1009,7.16,1568,198.2,nan,nan
255,train,3.7865,0.0829,6.11,3.5327,6.30,1568,199.0,nan,nan
256,train,4.9580,0.0204,8.78,4.9067,8.61,1568,199.8,nan,nan
257,train,4.6302,0.0108,10.48,4.9765,12.24,1568,200.5,nan,nan
258,train,4.6816,0.0166,12.21,4.5903,12.36,1568,201.3,nan,nan
259,train,4.6029,0.0274,9.04,4.3567,11.49,1568,202.1,nan,nan
260,train,4.8435,0.0434,10.40,4.3692,9.68,1568,202.8,nan,nan
261,train,4.5686,0.1078,7.07,4.2591,7.43,1568,203.6,nan,nan
262,train,4.3669,0.0593,6.40,4.1455,5.22,1568,204.4,nan,nan
263,train,4.8610,0.0804,9.68,4.5886,10.86,1568,205.1,nan,nan
264,train,4.0098,0.1231,7.13,3.6601,6.22,1568,205.9,nan,nan
265,train,4.3381,0.0861,9.37,4.1870,11.78,1568,206.7,nan,nan
266,train,3.8068,0.0855,4.24,3.4853,3.68,1568,207.5,nan,nan
267,train,4.7672,0.0529,8.38,4.6850,7.67,1568,208.2,nan,nan
268,train,3.3605,0.1614,6.28,2.9671,5.88,1568,209.0,nan,nan
269,train,4.2506,0.0236,6.70,3.7646,4.75,1568,209.8,nan,nan
270,train,3.7315,0.1212,6.67,3.8994,3.91,1568,210.5,nan,nan
271,train,3.9559,0.0599,5.41,4.0918,4.59,1568,211.3,nan,nan
272,train,4.7346,0.0497,9.89,4.4599,9.01,1568,212.1,nan,nan
273,train,4.2170,0.1703,4.63,4.3818,5.63,1568,212.8,nan,nan
274,train,4.7843,0.0536,10.18,4.7848,8.54,1568,213.6,nan,nan
275,train,4.3328,0.0886,7.07,3.9772,6.08,1568,214.4,nan,nan
276,train,4.1427,0.0529,7.18,4.4880,7.73,1568,215.1,nan,nan
277,train,5.0102,0.0306,11.97,4.8953,12.01,1568,215.9,nan,nan
278,train,4.2932,0.0823,7.18,3.8324,8.39,1568,216.7,nan,nan
279,train,4.2033,0.1065,6.14,3.8953,4.83,1568,217.4,nan,nan
280,train,5.2331,0.0057,10.67,4.7600,7.63,1568,218.2,nan,nan
281,train,5.1916,0.0523,10.33,5.2863,10.67,1568,219.0,nan,nan
282,train,5.0130,0.0810,9.87,4.7578,10.64,1568,219.7,nan,nan
283,train,4.5706,0.1110,8.51,4.2243,8.15,1568,220.5,nan,nan
284,train,4.9412,0.0351,10.63,5.2839,11.75,1568,221.3,nan,nan
285,train,4.7748,0.0293,11.56,4.5241,11.29,1568,222.0,nan,nan
286,train,4.6730,0.0421,7.53,4.0949,6.12,1568,222.8,nan,nan
287,train,5.3144,0.0242,11.07,5.2252,10.76,1568,223.6,nan,nan
288,train,4.7696,0.1033,6.37,4.7353,6.69,1568,224.3,nan,nan
289,train,4.4698,0.1008,9.34,4.6728,8.80,1568,225.1,nan,nan
290,train,3.7947,0.0714,4.94,3.7672,5.48,1568,225.9,nan,nan
291,train,3.8085,0.0893,5.06,3.8193,4.30,1568,226.6,nan,nan
292,train,5.2136,0.0325,12.07,4.9452,12.45,1568,227.4,nan,nan
293,train,4.9992,0.0223,9.45,4.2143,6.81,1568,228.2,nan,nan
294,train,3.4732,0.1594,6.14,3.5193,4.47,1568,229.0,nan,nan
295,train,3.7892,0.0517,5.57,3.7459,4.40,1568,229.7,nan,nan
296,train,4.3910,0.0427,9.00,3.8979,7.68,1568,230.5,nan,nan
297,train,3.5602,0.1499,5.54,3.5063,7.01,1568,231.3,nan,nan
298,train,4.6702,0.1097,8.21,4.5286,10.02,1568,232.0,nan,nan
299,train,4.0204,0.0721,5.17,3.6021,3.85,1568,232.8,nan,nan
300,train,4.0134,0.1142,5.72,3.9647,4.73,1568,233.6,nan,nan
301,train,4.0301,0.0395,5.64,3.8052,5.25,1568,234.3,nan,nan
302,train,4.8601,0.0676,9.66,4.3829,8.80,1568,235.1,nan,nan
303,train,4.6606,0.0338,7.91,4.4889,9.06,1568,235.9,nan,nan
