step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
327,train,3.9342,0.0152,13.79,3.9002,12.54,1443,265.9
328,train,3.7241,0.0904,9.18,3.1419,8.37,1416,266.7
329,train,3.6681,0.1130,12.82,4.3110,12.96,1239,267.5
330,train,3.5526,0.0791,10.47,3.4322,10.02,1416,268.3
331,train,4.1934,0.0692,12.67,4.0179,11.84,1446,269.1
332,train,3.1860,0.0973,6.72,2.4288,4.71,1418,269.9
333,train,2.5696,0.1637,5.26,2.7070,7.13,1405,270.7
334,train,3.4303,0.0449,8.21,3.0712,6.27,1337,271.5
335,train,2.7747,0.1488,5.55,3.0346,4.44,1418,272.3
336,train,2.9829,0.3284,8.59,3.4963,10.18,1288,273.1
337,train,3.9565,0.0862,10.35,4.1331,11.78,1381,273.9
338,train,3.4142,0.0858,7.99,3.3885,8.07,1363,274.7
339,train,3.6101,0.2026,8.12,3.3608,8.48,1298,275.5
340,train,3.7690,0.1036,9.34,3.5483,11.28,1390,276.3
341,train,2.3958,0.2635,4.62,2.1576,4.12,1442,277.1
342,train,3.6987,0.0574,8.37,3.9163,9.39,1446,277.9
343,train,4.3309,0.0727,10.78,3.4565,9.65,1390,278.7
344,train,2.7482,0.2728,8.25,2.7281,11.07,1404,279.5
345,train,3.4085,0.1417,9.49,3.0866,11.47,1341,280.3
346,train,2.9583,0.1559,7.15,3.1323,8.55,1405,281.1
347,train,4.1069,0.0392,13.66,4.0249,16.18,1379,281.9
348,train,3.3986,0.0603,8.59,3.6925,8.44,1476,282.7
349,train,2.8302,0.2060,7.62,3.0423,9.92,1340,283.5
350,train,3.1059,0.1630,7.20,2.6739,4.41,1380,284.3
351,train,4.5362,0.0929,14.39,4.1219,12.40,1357,285.1
352,train,2.6122,0.3381,4.37,2.4002,3.21,1325,285.9
353,train,3.3492,0.0681,10.80,3.7118,11.89,1336,286.7
354,train,2.9216,0.1794,6.42,2.7694,6.91,1444,287.5
355,train,3.9376,0.1204,12.51,3.7759,15.05,1279,288.3
356,train,3.6007,0.1360,10.02,4.0491,11.54,1419,289.1
357,train,3.2483,0.1319,8.93,3.4734,10.65,1350,289.9
358,train,2.7631,0.2782,5.05,2.3877,3.50,1391,290.7
359,train,3.0942,0.1414,8.49,3.1385,11.01,1414,291.5
360,train,2.8222,0.2363,8.75,2.6310,8.01,1333,292.3
361,train,3.6989,0.1576,8.47,3.2992,7.39,1428,293.1
362,train,3.5484,0.0859,7.91,3.7733,6.62,1315,293.9
363,train,3.1370,0.1508,8.66,2.9903,8.14,1432,294.7
364,train,2.8236,0.2806,5.69,2.7698,3.33,1315,295.5
365,train,3.8726,0.0492,9.48,3.4530,6.50,1362,296.3
366,train,2.7680,0.2065,7.39,2.7262,7.57,1380,297.1
367,train,4.2031,0.1332,13.42,3.9436,14.37,1419,297.9
368,train,3.2521,0.1670,10.43,3.3021,11.50,1365,298.7
369,train,3.9210,0.0635,11.01,3.5655,11.86,1338,299.5
370,train,3.8442,0.0930,10.37,3.3826,12.35,1430,300.3
371,train,3.2096,0.1631,9.03,2.9102,11.93,1367,301.1
372,train,3.0690,0.0926,7.37,3.2921,6.65,1404,301.9
373,train,3.1744,0.0572,8.00,2.9748,7.83,1416,302.7
374,train,2.8715,0.2607,8.10,2.6702,4.62,1381,303.5
375,train,3.6067,0.0719,8.58,3.2343,5.62,1363,304.3
376,train,3.5683,0.1099,11.94,3.5308,12.32,1301,305.1
377,train,3.5329,0.0874,6.72,3.0782,5.91,1418,305.9
378,train,2.5805,0.1730,5.09,2.3460,3.33,1341,306.7
379,train,3.0725,0.1470,6.54,3.1364,7.46,1442,307.5
380,train,2.9825,0.2075,7.46,2.7493,8.46,1484,308.3
381,train,2.8699,0.1916,6.60,2.5930,6.98,1352,309.1
382,train,2.8236,0.2356,6.67,2.4165,4.66,1405,309.9
383,train,2.8108,0.2950,5.53,2.7035,3.98,1312,310.7
384,train,3.0869,0.2206,6.93,2.9975,7.33,1446,311.5
385,train,3.8533,0.1413,12.79,3.5218,12.65,1309,312.3
386,train,3.2266,0.1909,6.88,3.0549,5.41,1388,313.1
387,train,3.8120,0.1561,9.44,3.4920,8.94,1448,313.9
388,train,2.8582,0.2525,9.37,2.9290,11.59,1418,314.7
389,train,3.1322,0.0799,6.89,2.5787,6.54,1389,315.5
390,train,3.8439,0.0440,13.08,3.5726,12.23,1432,316.3
